Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
13.160000000000002,103.96633333333334,-2380.1986666666667,176.02533333333335,223.3183333333333,-1794.9589999999998,141.63766666666666,-1895.506666666667,860.6013333333334,-128.66,-2106.6666666666665,816.1730000000001,427.96433333333334
13.189999999999998,102.07033333333334,-2372.283,184.62133333333335,220.62433333333334,-1784.9666666666665,138.65533333333335,-1883.5566666666666,853.4463333333333,-125.81166666666667,-2071.7766666666666,813.9486666666667,430.0876666666666
13.219999999999999,99.60966666666667,-2359.976,195.80133333333333,221.34966666666665,-1777.9123333333334,137.23866666666666,-1873.4233333333334,849.497,-122.54066666666665,-2034.3033333333333,813.9093333333334,432.7803333333334
13.25,96.60966666666667,-2341.1623333333337,209.63199999999998,223.39266666666666,-1773.9986666666666,136.858,-1864.2866666666666,849.6170000000001,-118.50733333333334,-1994.2866666666669,816.4846666666666,436.05566666666664
13.28,93.09466666666667,-2313.888,225.898,224.32866666666666,-1771.6563333333334,137.06833333333336,-1854.5366666666669,852.9459999999999,-113.63266666666668,-1951.6066666666666,821.2763333333332,439.84833333333336
13.31,88.592,-2277.4763333333335,244.12233333333333,223.94233333333332,-1769.9336666666668,137.59933333333333,-1842.4633333333331,857.0703333333335,-108.248,-1906.2099999999998,826.9106666666667,443.939
13.340000000000002,82.81466666666665,-2232.6246666666666,263.21133333333336,223.32166666666663,-1768.659333333333,138.12533333333332,-1827.2566666666664,860.014,-102.86233333333332,-1858.3566666666668,831.936,448.036
13.37,76.683,-2181.344333333333,281.58299999999997,223.29233333333332,-1767.9056666666668,138.53833333333333,-1809.3433333333332,861.5830000000001,-98.01433333333334,-1808.5733333333335,835.7903333333334,451.97766666666666
13.4,71.38433333333332,-2126.114666666667,297.436,223.68499999999997,-1767.4873333333333,139.01933333333332,-1789.8566666666666,862.666,-94.14,-1757.5633333333335,838.866,455.8163333333334
13.43,66.89766666666667,-2066.8109999999997,307.19699999999995,223.91066666666666,-1766.9593333333335,139.69633333333334,-1769.7633333333333,863.9459999999999,-91.22566666666667,-1706.07,841.982,459.7136666666667
13.46,62.32599999999999,-2001.9813333333332,307.10999999999996,223.80566666666667,-1766.111,140.60533333333333,-1749.5366666666666,865.3976666666667,-88.73266666666666,-1654.823333333333,845.8553333333333,463.6623333333334
13.49,57.31433333333333,-1931.7076666666665,296.346,223.11566666666667,-1764.736,141.688,-1729.1666666666667,866.5036666666666,-85.96966666666667,-1604.4466666666667,850.748,467.63433333333336
13.520000000000001,52.34133333333333,-1856.4186666666667,276.52299999999997,221.96733333333336,-1762.9433333333334,142.86133333333333,-1708.28,866.6446666666667,-82.41233333333334,-1555.33,856.4346666666667,471.47800000000007
13.549999999999999,48.409333333333336,-1776.2436666666665,250.69733333333332,220.636,-1761.0496666666666,143.945,-1686.43,865.4803333333333,-78.032,-1507.62,862.4616666666667,474.65366666666665
13.579999999999998,46.83533333333333,-1691.8016666666665,222.49733333333333,219.50599999999997,-1759.398,144.808,-1663.57,863.0736666666667,-73.318,-1461.4666666666665,868.4133333333333,476.75533333333334
13.61,48.48133333333334,-1604.5316666666668,195.67600000000002,218.881,-1758.0776666666668,145.7493333333333,-1639.9800000000002,859.5643333333333,-68.88766666666668,-1417.1000000000001,873.948,477.78133333333335
13.64,53.68333333333334,-1516.3383333333331,173.23533333333333,218.50300000000001,-1756.8453333333334,146.91366666666667,-1615.87,855.0533333333333,-65.165,-1374.7399999999998,878.7053333333333,477.836
13.67,62.32033333333334,-1429.5363333333335,157.09699999999998,217.85999999999999,-1755.4959999999999,148.01600000000002,-1591.2066666666667,849.6013333333334,-62.25266666666667,-1334.64,882.3563333333333,477.03133333333335
13.700000000000001,73.64433333333334,-1346.9776666666667,148.14966666666666,217.33366666666666,-1754.122,149.25300000000001,-1565.88,843.2696666666667,-60.028999999999996,-1297.1000000000001,884.6170000000001,475.5463333333333
13.730000000000002,86.60733333333333,-1272.287,145.66733333333332,217.39000000000001,-1752.621,151.23333333333335,-1539.75,836.2823333333332,-58.49100000000001,-1262.4,885.2223333333333,473.6856666666667
13.76,100.13366666666667,-1210.0923333333333,146.249,218.20966666666666,-1750.7123333333332,154.33266666666665,-1512.74,829.0826666666667,-57.791666666666664,-1230.8266666666666,884.0693333333334,471.83500000000004
13.790000000000001,112.84233333333333,-1165.0083333333332,145.14666666666668,220.08033333333333,-1748.124,158.6906666666667,-1484.83,822.172,-58.01466666666667,-1202.5600000000002,881.2006666666666,470.3573333333334
13.82,124.23866666666667,-1138.0196666666668,140.19233333333332,222.84966666666665,-1744.568,164.34866666666667,-1455.86,815.9530000000001,-59.11033333333334,-1177.6266666666668,876.7333333333332,469.61100000000005
13.85,134.42466666666667,-1123.481,133.13066666666666,226.10266666666666,-1739.5796666666665,171.61933333333332,-1425.5199999999998,810.6926666666667,-60.94833333333333,-1155.97,870.9573333333333,469.5996666666667
13.88,142.19266666666667,-1112.3443333333332,127.39333333333333,230.11533333333333,-1732.5143333333333,180.84633333333332,-1393.5199999999998,806.5383333333333,-63.407999999999994,-1137.496666666667,864.4256666666666,470.208
13.910000000000002,145.7073333333333,-1100.781,124.28666666666668,235.52800000000002,-1721.9306666666669,192.16333333333333,-1359.8166666666668,803.7596666666667,-66.42133333333334,-1122.2533333333333,858.0603333333333,471.50333333333333
